Metric / Attribute,Reference A: QubitX_RGUKTN / MediQAI (SIH26139),"Reference B: Zorlu & Colak (Diagnostics 2026, PMC13360165)",QureML (This Work)
Target Clinical Domain,Breast Cancer (WDBC),Breast Cancer (WDBC + WBC),"Multi-Disease (WDBC, BreastMNIST, Heart Disease, Diabetes, Wine)"
Datasets & Sample Size,"WDBC (n=569, single 80/20 hold-out)","WDBC (n=569, 70/30 split) + Wisconsin Original (WBC, n=683)","WDBC (n=569), BreastMNIST (n=780), Cleveland Heart (n=303), Statlog Heart (n=270), Diabetes (n=768)"
Quantum Circuit Architecture,"VQC & QSVM (unspecified layer depth, standard feature map)","8-qubit VQC (PennyLane, 4 StronglyEntanglingLayers) + ZZ-QSVM (Qiskit)","6-qubit VQC (17-depth, 12 CNOT ring, 73 params) + 2x2 Quanvolutional filter + Fidelity QSVM"
Classical Baselines Evaluated,RBF-SVM,"XGBoost, LightGBM, CatBoost, Random Forest, RBF-SVM, Stacked Hybrid Ensemble (Winner in baseline breadth)","Parameter-matched MLP (Control B: exactly 73 params), RBF-SVM, Logistic Regression, Classical CNN"
Cross-Validation & Significance Testing,"None (single train/test split, no CIs or p-values)",Internal-external CV + DeLong correlated ROC test (95% CIs),Stratified 5-Fold CV + Paired Wilcoxon/t-tests with Holm-Bonferroni correction across all metrics
Ablation & Sensitivity Analyses,None reported,"Embedding rotation (X/Y vs Z), circuit depth (1-6 layers), depolarizing noise (p <= 0.10)","Barren plateau scaling (2-12 qubits), KTA (5 datasets), noise-aware vs ideal training, DP privacy budget, missing data (0-50%)"
External / Cross-Dataset Generalization,None,"Yes: independent Wisconsin Original cohort (WBC, n=683, 9 cytological features; Winner in clinical domain matching)","Yes: cross-dataset domain shift on Heart Disease (Cleveland -> Statlog, 0-shot transfer; VQC retains 86.4% vs MLP 84.1%)"
Differential Privacy & Federated Learning,None,None,"Yes: 292-byte communication payload per client round, DP utility boundary analysis (epsilon <= 8.0, delta = 1e-5)"
Real Quantum Hardware Validation,None (Simulator only),"None (Simulators only: PennyLane lightning.qubit, Qiskit AerSimulator)","Yes: Live IBM Quantum hardware calibration on 156-qubit Heron r2 processor (ibm_fez: T1=133.1us, T2=99.1us, CZ error=2.88e-3)"
Barren Plateau & Trainability Diagnostic,None,"Theoretical discussion only (McClean et al. cited, not empirically measured)",Yes: Empirical gradient variance decay across n in [2..12] qubits (Var[dL/dtheta] ~ 2^{-0.63n}; Var=0.0412 at n=6)
Kernel-Target Alignment (KTA) Diagnostic,None,None,"Yes: Exact KTA computed across 5 datasets (WDBC 0.713, Wine 0.642, Heart 0.428, BreastMNIST 0.384, Diabetes 0.291)"
Missing-Data Clinical Robustness,None,None (evaluated complete-case data only),Yes: 0% to 50% MCAR missingness stress test with mean vs KNN imputation trajectories
Headline Empirical Result,Classical RBF-SVM (90.6% bal. acc.) outperformed best QML (85.3%) by 5.3%; no error bounds,"Internal: SVM AUC 0.998, VQC 0.992, QSVM 0.727; External WBC: SVM AUC 0.986, VQC 0.983 (Statistical Parity confirmed)","WDBC: VQC AUC 0.991 vs MLP 0.988 (Parity, p=0.42); Heart: VQC 0.912 vs MLP 0.905 (p=0.38); Domain-Shift: VQC 86.4% vs MLP 84.1%"
